Investing Report Created: 2023-09-23 08:16:00 -0400
,
﻿Filter Criteria:,All Dates
,All Investing Accounts
,Any Type
,Any Status
,All Investing Accounts
,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"5/24/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"234.52","HD ESPP"
﻿,,"6/7/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"234.52","HD ESPP"
﻿,,"6/13/2018","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"45.32","HD ML Individual Account"
﻿,,"6/21/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"234.52","HD ESPP"
﻿,,"6/30/2018","Buy","Home Depot","HD","Home Depot","18.796635 shares @ 165.66848268","18.796635","3,114.01","-3,114.01","HD ESPP"
﻿,,"7/5/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"281.43","HD ESPP"
﻿,,"7/17/2018","Sell","Home Depot","HD","Home Depot","18.796635 shares @ 200.13848223","-18.796635","-3,716.93","3,716.93","HD ESPP"
﻿,,"7/18/2018","Payment/Deposit","",,"Home Depot Sl","Transfer:[USAA CLASSIC CHECKING]",,,"-3,716.93","HD ESPP"
﻿,,"7/19/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"281.43","HD ESPP"
﻿,,"8/2/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"281.43","HD ESPP"
﻿,,"8/16/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"281.43","HD ESPP"
﻿,,"8/30/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"281.43","HD ESPP"
﻿,,"9/13/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"281.43","HD ESPP"
﻿,,"9/13/2018","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"45.32","HD ML Individual Account"
﻿,,"9/17/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"131.33","HD ESPP"
﻿,,"9/27/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"283.83","HD ESPP"
﻿,,"10/11/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"281.43","HD ESPP"
﻿,,"10/25/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"281.43","HD ESPP"
﻿,,"11/8/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"281.43","HD ESPP"
﻿,,"11/21/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"281.43","HD ESPP"
﻿,,"12/6/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"281.43","HD ESPP"
﻿,,"12/13/2018","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"45.32","HD ML Individual Account"
