Investing Report Created: 2023-09-23 08:16:00 -0400
,
﻿Filter Criteria:,All Dates
,All Investing Accounts
,Any Type
,Any Status
,All Investing Accounts
,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"7/2/2001","Dividend Income","Union Pacific Railroad","UNP","Union Pacific Railroad","Investments:Dividend Income",,,"20.00","z Ameritrade IRA"
﻿,,"7/10/2001","Dividend Income","Altria Group","MO","Altria Group","Investments:Dividend Income",,,"106.00","z Ameritrade IRA"
﻿,,"8/2/2001","Add Shares","ALVARION LTD","ALVR","ALVARION LTD","600 shares","600",,"0.00","z Ameritrade IRA"
﻿,,"8/2/2001","Remove Shares","BreezeComm","BRZE","BreezeComm","600 shares @ 23.9208","-600","-14,352.48","0.00","z Ameritrade IRA"
﻿,,"9/4/2001","Payment/Deposit","",,,"Transfer",,,"1.09","z Ameritrade IRA"
﻿,,"9/12/2001","Dividend Income","3M Corp","MMM","3M Corp","Investments:Dividend Income",,,"30.00","z Ameritrade IRA"
﻿,,"9/14/2001","Dividend Income","CSX Corp","CSX","CSX Corp","Investments:Dividend Income",,,"10.00","z Ameritrade IRA"
﻿,,"10/1/2001","Interest Income","",,"","Investments:Interest Income",,,"0.43","z Ameritrade IRA"
﻿,,"10/1/2001","Dividend Income","Union Pacific Railroad","UNP","Union Pacific Railroad","Investments:Dividend Income",,,"20.00","z Ameritrade IRA"
﻿,,"10/10/2001","Dividend Income","Altria Group","MO","Altria Group","Investments:Dividend Income",,,"116.00","z Ameritrade IRA"
﻿,,"10/29/2001","Payment/Deposit","",,,"Transfer",,,"0.46","z Ameritrade IRA"
﻿,,"12/3/2001","Payment/Deposit","",,,"Transfer",,,"0.23","z Ameritrade IRA"
﻿,,"12/12/2001","Sell","Rail America, Inc","RAIL","Rail America, Inc","100 shares @ 13.01","-100","-1,292.95","1,292.95","z Ameritrade IRA"
﻿,,"12/12/2001","Dividend Income","3M Corp","MMM","3M Corp","Investments:Dividend Income",,,"30.00","z Ameritrade IRA"
﻿,,"12/12/2001","Buy","MIRANT CORP","MIR","MIRANT CORP","100 shares @ 17.79","100","1,787.00","-1,787.00","z Ameritrade IRA"
﻿,,"12/14/2001","Dividend Income","CSX Corp","CSX","CSX Corp","Investments:Dividend Income",,,"10.00","z Ameritrade IRA"
﻿,,"12/18/2001","Add Shares","Janus Twenty","JAVLX","Janus Twenty","0.441 shares","0.441",,"0.00","z Ameritrade IRA"
﻿,,"12/19/2001","Buy","MIRANT CORP","MIR","MIRANT CORP","100 shares @ 14.94","100","1,502.00","-1,502.00","z Ameritrade IRA"
﻿,,"1/2/2002","Payment/Deposit","",,,"Transfer",,,"0.14","z Ameritrade IRA"
﻿,,"1/2/2002","Dividend Income","Union Pacific Railroad","UNP","Union Pacific Railroad","Investments:Dividend Income",,,"20.00","z Ameritrade IRA"
﻿,,"1/10/2002","Dividend Income","Altria Group","MO","Altria Group","Investments:Dividend Income",,,"116.00","z Ameritrade IRA"
﻿,,"1/18/2002","Buy","Allied Capital","ALD","Allied Capital","100 shares @ 26.81","100","2,689.00","-2,689.00","z Ameritrade IRA"
﻿,,"1/18/2002","Sell","RARE MEDIUM GRP","RRRR","RARE MEDIUM GRP","500 shares @ 0.5101","-500","-247.04","247.04","z Ameritrade IRA"
﻿,,"1/18/2002","Sell","Air Tran","AAIR","Air Tran","400 shares @ 6.61","-400","-2,635.96","2,635.96","z Ameritrade IRA"
﻿,,"1/22/2002","Sell","Janus Twenty","JAVLX","Janus Twenty","50.664 shares @ 37.24992105","-50.664","-1,869.23","1,869.23","z Ameritrade IRA"
﻿,,"1/25/2002","Buy","Honda Motor Company","HMC","Honda Motor Company","100 shares @ 20.32","100","2,040.00","-2,040.00","z Ameritrade IRA"
﻿,,"1/28/2002","Payment/Deposit","",,,"Transfer",,,"0.02","z Ameritrade IRA"
﻿,,"1/30/2002","Sell","HNC Software","HNCS","HNC Software","100 shares @ 16.21","-100","-1,612.97","1,612.97","z Ameritrade IRA"
﻿,,"1/30/2002","Buy","MIRANT CORP","MIR","MIRANT CORP","100 shares @ 9.44","100","952.00","-952.00","z Ameritrade IRA"
﻿,,"2/25/2002","Payment/Deposit","",,,"Transfer",,,"0.02","z Ameritrade IRA"
﻿,,"3/4/2002","Buy","MIRANT CORP","MIR","MIRANT CORP","100 shares @ 9.72","100","980.00","-980.00","z Ameritrade IRA"
﻿,,"3/12/2002","Dividend Income","3M Corp","MMM","3M Corp","Investments:Dividend Income",,,"31.00","z Ameritrade IRA"
﻿,,"3/15/2002","Dividend Income","CSX Corp","CSX","CSX Corp","Investments:Dividend Income",,,"10.00","z Ameritrade IRA"
﻿,,"3/18/2002","Sell","3M Corp","MMM","3M Corp","50 shares @ 121.96","-50","-6,089.90","6,089.90","z Ameritrade IRA"
﻿,,"3/18/2002","Buy","SOUTHERN CO","SO","SOUTHERN CO","225 shares @ 26.07","225","5,873.75","-5,873.75","z Ameritrade IRA"
﻿,,"3/28/2002","Dividend Income","Allied Capital","ALD","Allied Capital","Investments:Dividend Income",,,"53.00","z Ameritrade IRA"
﻿,,"4/1/2002","Dividend Income","Union Pacific Railroad","UNP","Union Pacific Railroad","Investments:Dividend Income",,,"20.00","z Ameritrade IRA"
﻿,,"4/10/2002","Dividend Income","Altria Group","MO","Altria Group","Investments:Dividend Income",,,"116.00","z Ameritrade IRA"
﻿,,"6/6/2002","Dividend Income","SOUTHERN CO","SO","SOUTHERN CO","Investments:Dividend Income",,,"75.38","z Ameritrade IRA"
﻿,,"6/14/2002","Dividend Income","CSX Corp","CSX","CSX Corp","Investments:Dividend Income",,,"10.00","z Ameritrade IRA"
﻿,,"6/28/2002","Dividend Income","Allied Capital","ALD","Allied Capital","Investments:Dividend Income",,,"55.00","z Ameritrade IRA"
﻿,,"7/1/2002","Buy","Allied Capital","ALD","Allied Capital","100 shares @ 23.12","100","2,320.00","-2,320.00","z Ameritrade IRA"
﻿,,"7/1/2002","Sell","CSX Corp","CSX","CSX Corp","100 shares @ 35.51","-100","-3,542.89","3,542.89","z Ameritrade IRA"
﻿,,"7/1/2002","Dividend Income","Union Pacific Railroad","UNP","Union Pacific Railroad","Investments:Dividend Income",,,"20.00","z Ameritrade IRA"
﻿,,"7/5/2002","Dividend Income","Honda Motor Company","HMC","Honda Motor Company","Investments:Dividend Income",,,"5.33","z Ameritrade IRA"
﻿,,"7/8/2002","Dividend Income","Honda Motor Company","HMC","Honda Motor Company","Investments:Dividend Income",,,"5.33","z Ameritrade IRA"
﻿,,"7/8/2002","Dividend Income","Honda Motor Company","HMC","Honda Motor Company","Investments:Dividend Income",,,"5.33","z Ameritrade IRA"
﻿,,"7/10/2002","Dividend Income","Altria Group","MO","Altria Group","Investments:Dividend Income",,,"116.00","z Ameritrade IRA"
﻿,,"7/11/2002","Buy","MIRANT CORP","MIR","MIRANT CORP","200 shares @ 4.91","200","990.00","-990.00","z Ameritrade IRA"
﻿,,"7/29/2002","Payment/Deposit","",,,"Transfer",,,"0.07","z Ameritrade IRA"
﻿,,"9/6/2002","Dividend Income","SOUTHERN CO","SO","SOUTHERN CO","Investments:Dividend Income",,,"77.06","z Ameritrade IRA"
﻿,,"9/27/2002","Dividend Income","Allied Capital","ALD","Allied Capital","Investments:Dividend Income",,,"112.00","z Ameritrade IRA"
﻿,,"10/1/2002","Dividend Income","Union Pacific Railroad","UNP","Union Pacific Railroad","Investments:Dividend Income",,,"20.00","z Ameritrade IRA"
﻿,,"10/10/2002","Dividend Income","Altria Group","MO","Altria Group","Investments:Dividend Income",,,"128.00","z Ameritrade IRA"
﻿,,"12/4/2002","Dividend Income","Honda Motor Company","HMC","Honda Motor Company","Investments:Dividend Income",,,"5.52","z Ameritrade IRA"
﻿,,"12/6/2002","Dividend Income","SOUTHERN CO","SO","SOUTHERN CO","Investments:Dividend Income",,,"77.06","z Ameritrade IRA"
﻿,,"12/17/2002","Buy","AMERICAN MORTGAGE ACCEP CO","AMC","AMERICAN MORTGAGE ACCEP CO","100 shares @ 13.88","100","1,398.99","-1,398.99","z Ameritrade IRA"
﻿,,"12/27/2002","Dividend Income","Allied Capital","ALD","Allied Capital","Investments:Dividend Income",,,"112.00","z Ameritrade IRA"
﻿,,"1/2/2003","Dividend Income","Union Pacific Railroad","UNP","Union Pacific Railroad","Investments:Dividend Income",,,"23.00","z Ameritrade IRA"
﻿,,"1/9/2003","Dividend Income","Allied Capital","ALD","Allied Capital","Investments:Dividend Income",,,"6.00","z Ameritrade IRA"
﻿,,"1/10/2003","Dividend Income","Altria Group","MO","Altria Group","Investments:Dividend Income",,,"128.00","z Ameritrade IRA"
﻿,,"1/15/2003","Buy","AMERICAN MORTGAGE ACCEP CO","AMC","AMERICAN MORTGAGE ACCEP CO","100 shares @ 14.04","100","1,414.99","-1,414.99","z Ameritrade IRA"
﻿,,"1/15/2003","Sell","ALVARION LTD","ALVR","ALVARION LTD","600 shares @ 1.88","-600","-1,116.97","1,116.97","z Ameritrade IRA"
﻿,,"2/14/2003","Dividend Income","AMERICAN MORTGAGE ACCEP CO","AMC","AMERICAN MORTGAGE ACCEP CO","Investments:Dividend Income",,,"40.00","z Ameritrade IRA"
﻿,,"3/6/2003","Dividend Income","SOUTHERN CO","SO","SOUTHERN CO","Investments:Dividend Income",,,"77.06","z Ameritrade IRA"
﻿,,"3/28/2003","Dividend Income","Allied Capital","ALD","Allied Capital","Investments:Dividend Income",,,"114.00","z Ameritrade IRA"
﻿,,"4/1/2003","Dividend Income","Union Pacific Railroad","UNP","Union Pacific Railroad","Investments:Dividend Income",,,"23.00","z Ameritrade IRA"
﻿,,"4/2/2003","Buy","AMR","AMR","AMR","100 shares @ 3.74","100","384.99","-384.99","z Ameritrade IRA"
﻿,,"4/9/2003","Dividend Income","Altria Group","MO","Altria Group","Investments:Dividend Income",,,"128.00","z Ameritrade IRA"
﻿,,"5/15/2003","Dividend Income","AMERICAN MORTGAGE ACCEP CO","AMC","AMERICAN MORTGAGE ACCEP CO","Investments:Dividend Income",,,"80.00","z Ameritrade IRA"
﻿,,"6/6/2003","Dividend Income","SOUTHERN CO","SO","SOUTHERN CO","Investments:Dividend Income",,,"77.06","z Ameritrade IRA"
﻿,,"6/27/2003","Dividend Income","Allied Capital","ALD","Allied Capital","Investments:Dividend Income",,,"114.00","z Ameritrade IRA"
